"","year","Cop_biom_mean"
"1",1980,5.18481047446479
"2",1981,4.08981519943774
"3",1982,4.15557065414381
"4",1983,4.30933474355662
"5",1984,4.16480021548247
"6",1985,4.65611226873702
"7",1986,4.15139869467439
"8",1987,4.49009837824417
"9",1988,4.24267702372581
"10",1989,3.98146614121539
"11",1990,4.55223851056457
"12",1991,4.06039848402645
"13",1992,4.52157544749307
"14",1993,4.64804240983081
"15",1994,4.66990773635897
"16",1995,4.74387697822532
"17",1996,4.89530641264179
"18",1997,4.23833480537257
"19",1998,4.16602286504023
"20",1999,4.46036849924291
"21",2000,3.96137308460509
"22",2001,3.72351373296429
"23",2002,3.95318725149016
"24",2003,4.59051306971566
"25",2004,3.93640482124731
"26",2005,4.03073066483029
"27",2006,4.29274837467314
"28",2007,4.45471888131516
"29",2008,4.7723572234016
"30",2009,4.32962987412959
"31",2010,3.97705934263108
"32",2011,3.92010604531226
"33",2012,4.49119117127629
"34",2013,4.03778360579837
"35",2014,4.28290634382516
"36",2015,5.24058434468655
"37",2016,4.67285220884161
"38",2017,3.7202498963497
"39",2018,4.47705520505935
"40",2019,4.55554668594603
"41",2020,4.46205035278302
"42",2021,3.55363819958631
"43",2022,3.90308311606198
"44",2023,5.13398518713553
"45",2024,4.8343847756623
"46",2025,4.40675624696238
"47",2026,3.96314746614361
"48",2027,4.00201167100128
"49",2028,4.75718354788277
"50",2029,4.15519601409925
"51",2030,3.79246802771886
"52",2031,3.70754028888914
"53",2032,4.32631320578421
"54",2033,4.57440971621597
"55",2034,4.05689358066675
"56",2035,4.21712666819264
"57",2036,4.07636865400151
"58",2037,4.08363613460397
"59",2038,4.19617310096963
"60",2039,4.0068359870738
"61",2040,4.33320050668137
"62",2041,4.17992947882156
"63",2042,3.90805517333385
"64",2043,4.21472700494055
"65",2044,4.56076623691455
"66",2045,4.45681065482779
"67",2046,3.80887370118643
"68",2047,4.11976235274505
"69",2048,4.63216558708522
"70",2049,4.10473397309335
"71",2050,3.92987267647053
"72",2051,4.57244927985231
"73",2052,3.34073544111283
"74",2053,4.68560951113243
"75",2054,4.62245163350769
"76",2055,3.87413107255273
"77",2056,4.19602796107186
"78",2057,4.23429989087356
"79",2058,4.33277434753573
"80",2059,4.31005958074325
"81",2060,4.63193308142158
"82",2061,3.98450379901305
"83",2062,3.91623899834648
"84",2063,4.07021411507378
"85",2064,4.534039083887
"86",2065,5.06912504740333
"87",2066,3.93508421116802
"88",2067,3.72850189788894
"89",2068,4.21218007314766
"90",2069,4.60195706808346
"91",2070,3.90172661006823
"92",2071,4.42545617017609
"93",2072,4.30187414394354
"94",2073,4.23053311251912
"95",2074,4.08931789800114
"96",2075,3.81572741818385
"97",2076,4.96752186670564
"98",2077,5.06025709531944
"99",2078,3.8801095868725
"100",2079,3.95108932997846
"101",2080,3.85373135868188
"102",2081,4.3860277511667
"103",2082,3.41808273979724
"104",2083,3.43965274703701
"105",2084,4.37799830517289
"106",2085,4.6301114449782
"107",2086,4.35902275340464
"108",2087,4.19800462407391
"109",2088,3.55248416192611
"110",2089,3.58721549619787
"111",2090,4.19339576921785
"112",2091,4.7048641074348
"113",2092,4.54608233477494
"114",2093,3.75595015441819
"115",2094,3.97312801559013
"116",2095,4.36325752977608
"117",2096,4.31017191015112
"118",2097,3.69143376974586
"119",2098,3.82318728543464
"120",2099,3.44774796814951
